url,name,distance,altitude_up,altitude_down,duration,difficulty_level,fitness_level
https://schweizmobil.ch/de/wanderland/route-101,Sentier du Rhône,20,460,480,324.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-102,Far West du canton de Genève,11,280,280,180.0,leicht,leicht
https://schweizmobil.ch/de/wanderland/route-103,Rive Droite,19,380,460,300.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-104,Au fil de la Versoix,10,120,200,145.0,leicht,leicht
https://schweizmobil.ch/de/wanderland/route-105,Entre Arve et Lac,18,240,190,264.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-107,Chemin des Gorges de Covatannaz,7,60,500,110.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-109,Tour de La Palette,8,560,420,169.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-113,Terrasses de Lavaux,11,440,420,195.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-114,Sentier des Toblerones,18,160,520,270.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-116,Chemin de La Dôle,15,880,700,300.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-117,Chemin de la Dent de Vaulion,10,440,440,180.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-120,Chemin des pyramides de Gypse,12,560,560,220.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-121,Tour de L’Argentine,13,1050,1050,315.0,mittel,schwer
https://schweizmobil.ch/de/wanderland/route-123,Sentier du Mont d'Or,13,840,840,270.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-124,Sentier du patrimoine de Romainmôtier,13,400,400,220.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-125,Sentier du Noirmont,14,680,680,260.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-127,Tour du Lac de Joux,23,260,260,335.0,leicht,schwer
https://schweizmobil.ch/de/wanderland/route-128,Chemin du Vallon de l'Aubonne,11,260,420,169.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-129,Tour du Vallon des Vaux,14,360,360,220.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-130,Au sommet du Jura,16,740,1000,300.0,leicht,schwer
https://schweizmobil.ch/de/wanderland/route-131,Chemin de la Sarine au Pays-d'Enhaut,14,340,440,225.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-132,Sentier du Sel,13,360,680,214.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-133,Chemin des Narcisses,6,380,380,120.0,leicht,leicht
https://schweizmobil.ch/de/wanderland/route-135,Sentier de la Jougnena,19,480,480,300.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-137,Sentier du Talent,9,260,170,150.0,leicht,leicht
https://schweizmobil.ch/de/wanderland/route-138,Sentier nature Grand Lausanne,19,660,660,300.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-144,Sentier du Salève,7,780,80,160.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-159,Höhenweg Almagelleralp,11,300,1050,205.0,mittel,schwer
https://schweizmobil.ch/de/wanderland/route-160,Sentier des Chamois,12,700,1450,285.0,mittel,schwer
https://schweizmobil.ch/de/wanderland/route-180,Zauberwasser-Weg Grächen,13,460,460,229.0,leicht,mittel
https://schweizmobil.ch/de/wanderland/route-181,Suonenweg Brandalp–Eischoll,10,320,700,180.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-182,Fafleralp-Rundweg,11,680,680,229.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-183,Gemsweg Saas-Fee,8,180,720,139.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-184,Gommer Höhenweg,12,660,680,240.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-185,Turtmanntaler Aussichtsweg,13,860,860,279.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-186,5-Seenweg Zermatt,11,380,660,195.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-187,Über die Raspille,11,300,740,190.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-188,Walliser Steppen- und Föhrenweg,11,680,700,229.0,mittel,mittel
https://schweizmobil.ch/de/wanderland/route-189,Riederfurka-Knebelbrückenweg,10,740,740,225.0,mittel,mittel
